Player,Age,Pos,G,MP,FG%,3P%,eFG%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Tm,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed,contract_length
Stephen Curry,36.0,PG,57.0,32.2,0.448,0.398,0.573,0.936,0.6,3.8,4.4,6.1,1.1,0.4,2.9,1.4,24.3,GSW,55761216,59606817,62587158,0,0,0,177955191,3
Joel Embiid,30.0,C,19.0,30.2,0.444,0.299,0.481,0.882,1.9,6.3,8.2,4.5,0.7,0.9,3.3,2.2,23.8,PHI,51415938,55224526,57985752,62624612,67263472,0,227250828,5
Nikola Jokić,29.0,C,60.0,36.4,0.577,0.428,0.627,0.808,2.9,10.0,12.9,10.4,1.8,0.7,3.3,2.3,29.0,DEN,51415938,55224526,59033114,62841702,0,0,165673578,4
Kevin Durant,36.0,PF,53.0,37.1,0.529,0.413,0.597,0.83,0.4,5.8,6.2,4.3,0.8,1.3,3.1,1.7,26.8,PHO,51179021,54708609,0,0,0,0,105887630,2
Bradley Beal,31.0,SG,46.0,32.7,0.506,0.393,0.577,0.824,0.7,2.7,3.5,3.7,1.0,0.5,2.0,2.6,17.7,PHO,50203930,53666270,57128610,0,0,0,103870200,3
Jaylen Brown,28.0,SF,55.0,35.4,0.46,0.316,0.509,0.759,1.5,4.6,6.1,4.7,1.3,0.3,2.7,2.6,23.0,BOS,49205800,53142264,57078728,61015192,64951656,0,285393640,5
Devin Booker,28.0,SG,60.0,37.5,0.457,0.346,0.528,0.889,1.0,3.1,4.1,6.8,1.0,0.2,2.8,2.7,25.9,PHO,49205800,53142264,57078728,61015192,0,0,220441984,4
Karl-Anthony Towns,29.0,C,58.0,35.1,0.524,0.422,0.586,0.833,3.0,10.1,13.2,3.1,1.0,0.7,2.6,3.5,24.2,NYK,49205800,53142264,57078728,61015192,0,0,159426792,4
Paul George,34.0,PF,41.0,32.5,0.43,0.358,0.514,0.814,0.6,4.8,5.3,4.3,1.8,0.5,2.6,2.5,16.2,PHI,49205800,51666090,54126380,56586670,0,0,154998270,4
Kawhi Leonard,33.0,SF,23.0,29.7,0.462,0.361,0.521,0.754,1.0,4.2,5.1,2.8,1.3,0.5,2.1,1.5,18.6,LAC,49205800,50000000,50300000,0,0,0,149505800,3
Jimmy Butler,35.0,SF,39.0,31.0,0.508,0.295,0.53,0.833,2.3,3.1,5.4,5.2,1.2,0.3,1.3,0.9,16.9,GSW,48798677,54126450,56832773,0,0,0,159757900,3
Giannis Antetokounmpo,30.0,PF,53.0,33.8,0.603,0.182,0.607,0.594,2.3,9.8,12.1,5.9,0.8,1.2,3.3,2.4,30.5,MIL,48787676,54126450,58456566,62786682,0,0,161370692,4
Damian Lillard,34.0,PG,55.0,36.2,0.451,0.375,0.549,0.922,0.5,4.2,4.7,7.2,1.2,0.2,2.9,1.7,25.2,MIL,48787676,54126450,58456566,0,0,0,102914126,3
LeBron James,40.0,SF,58.0,34.9,0.517,0.384,0.579,0.77,1.0,7.2,8.2,8.5,0.9,0.6,3.9,1.5,25.0,LAL,48728845,52627153,0,0,0,0,48728845,2
Zach LaVine,29.0,SF,58.0,34.8,0.514,0.443,0.61,0.823,0.3,4.3,4.6,4.3,0.9,0.2,2.9,1.4,23.7,SAC,44531940,47499660,48967380,0,0,0,92031600,3
Rudy Gobert,32.0,C,57.0,33.0,0.654,0.0,0.654,0.685,3.5,6.9,10.4,1.9,0.7,1.5,1.3,2.4,11.1,MIN,43827586,35000000,36500000,38000000,0,0,115327586,4
Anthony Davis,31.0,PF,43.0,34.2,0.528,0.313,0.548,0.786,2.9,9.1,12.0,3.4,1.3,2.2,2.2,1.9,25.7,DAL,43219440,54126450,58456566,62786682,0,0,155802456,4
Luka Dončić,25.0,PG,35.0,35.1,0.445,0.35,0.527,0.763,0.8,7.6,8.4,7.7,1.9,0.4,3.7,2.6,27.4,LAL,43031940,45999660,48967380,0,0,0,89031600,3
Trae Young,26.0,PG,61.0,36.2,0.403,0.322,0.479,0.873,0.5,2.7,3.1,11.5,1.1,0.2,4.8,2.0,24.0,ATL,43031940,45999660,48967380,0,0,0,89031600,3
Fred VanVleet,30.0,PG,47.0,35.3,0.384,0.34,0.486,0.824,0.6,3.2,3.9,5.7,1.7,0.4,1.5,2.4,14.3,HOU,42846615,44886930,0,0,0,0,42846615,2
Anthony Edwards,23.0,SG,64.0,36.4,0.442,0.406,0.542,0.835,0.8,5.2,6.0,4.6,1.1,0.6,3.3,1.8,27.2,MIN,42176400,45550512,48924624,52298736,55672848,0,244623120,5
Tyrese Haliburton,24.0,PG,60.0,34.0,0.467,0.389,0.577,0.863,0.6,2.9,3.5,8.9,1.5,0.6,1.7,1.3,18.5,IND,42176400,45550512,48924624,52298736,55672848,0,244623120,5
Lauri Markkanen,27.0,PF,44.0,32.0,0.424,0.347,0.522,0.872,1.6,4.5,6.1,1.5,0.8,0.4,1.4,1.7,19.2,UTA,42176400,46394100,46113154,49824681,53536209,0,238044544,5
Pascal Siakam,30.0,PF,64.0,32.9,0.524,0.401,0.581,0.747,1.7,5.5,7.2,3.3,0.9,0.5,1.3,2.5,20.8,IND,42176400,45550512,48924624,52298736,0,0,188950272,4
Kyrie Irving,32.0,SG,50.0,36.1,0.473,0.401,0.549,0.916,1.2,3.6,4.8,4.6,1.3,0.5,2.2,2.0,24.7,DAL,41000000,43962963,0,0,0,0,41000000,2
Domantas Sabonis,28.0,C,56.0,35.3,0.596,0.432,0.635,0.747,3.9,10.2,14.1,6.2,0.6,0.4,3.0,3.4,19.5,SAC,40500000,43636000,46772000,49908000,0,0,180816000,4
Ben Simmons,28.0,PG,38.0,24.5,0.552,0.0,0.552,0.727,0.9,4.3,5.2,6.7,0.9,0.5,2.4,2.4,6.3,BKN,40011909,0,0,0,0,0,39256083,1
Zion Williamson,24.0,PF,28.0,28.5,0.563,0.231,0.566,0.65,2.6,4.7,7.3,5.3,1.2,0.9,3.0,2.6,24.2,NOP,36725670,39446090,42166510,44886930,0,0,163225200,4
Ja Morant,25.0,PG,42.0,29.9,0.439,0.291,0.485,0.832,0.6,3.4,4.0,7.5,1.2,0.3,3.8,2.2,21.8,MEM,36725670,39446090,42166510,44886930,0,0,163225200,4
Darius Garland,25.0,PG,61.0,30.4,0.477,0.411,0.571,0.881,0.6,2.0,2.6,6.7,1.2,0.2,2.4,2.0,21.0,CLE,36725670,39446090,42166510,44886930,0,0,163225200,4
OG Anunoby,27.0,PF,59.0,36.7,0.468,0.365,0.553,0.794,1.4,3.4,4.8,2.2,1.4,0.9,1.4,2.3,16.6,NYK,36637932,39568966,42500000,45431034,48362068,0,164137932,5
Jamal Murray,27.0,PG,59.0,36.3,0.472,0.394,0.541,0.886,0.6,3.1,3.8,6.1,1.4,0.5,2.1,1.9,21.4,DEN,36016200,46394100,50105628,53817156,57528684,0,243861768,5
Brandon Ingram,27.0,SF,18.0,33.1,0.465,0.374,0.53,0.855,0.9,4.6,5.6,5.2,0.9,0.6,3.8,2.5,22.2,TOR,36016200,38095238,40000000,41904762,0,0,114111438,4
Shai Gilgeous-Alexander,26.0,PG,64.0,34.3,0.525,0.371,0.576,0.9,0.9,4.2,5.1,6.2,1.8,1.0,2.6,2.3,32.8,OKC,35859950,38333050,40806150,0,0,0,114999150,3
Michael Porter Jr.,26.0,SF,63.0,33.7,0.506,0.401,0.598,0.745,1.8,5.1,7.0,2.1,0.6,0.4,1.3,1.9,18.3,DEN,35859950,38333050,40806150,0,0,0,86193000,3
Donovan Mitchell,28.0,SG,60.0,31.3,0.451,0.384,0.544,0.819,0.7,3.6,4.3,4.8,1.3,0.2,2.1,2.0,24.2,CLE,35410310,46394100,50105628,53817156,0,0,131910038,4
Tyrese Maxey,24.0,PG,52.0,37.7,0.437,0.337,0.511,0.879,0.3,3.1,3.3,6.1,1.8,0.4,2.4,2.2,26.3,PHI,35147000,37958760,40770520,43582280,46394040,0,203852600,5
LaMelo Ball,23.0,PG,42.0,32.2,0.4,0.33,0.487,0.836,1.0,4.2,5.2,7.1,1.2,0.3,3.5,3.4,25.5,CHO,35147000,37958760,40770520,43582280,46394040,0,203852600,5
Jayson Tatum,26.0,PF,61.0,36.6,0.456,0.354,0.545,0.807,0.7,8.1,8.8,5.9,1.1,0.5,2.9,2.2,27.2,BOS,34848340,54126450,58456566,62786682,67116798,71446914,277334836,6
Bam Adebayo,27.0,C,63.0,34.5,0.488,0.31,0.518,0.754,2.5,7.5,10.0,4.4,1.3,0.7,2.1,2.2,17.7,MIA,34848340,37096620,48713700,52610796,56507892,0,173269456,5
De'Aaron Fox,27.0,PG,62.0,36.1,0.463,0.31,0.514,0.827,0.9,3.9,4.8,6.3,1.5,0.4,2.8,2.6,23.5,SAS,34848340,37096620,0,0,0,0,71944960,2
Desmond Bane,26.0,SG,54.0,31.6,0.486,0.377,0.562,0.882,0.9,5.3,6.2,5.5,1.2,0.5,2.5,2.4,18.7,MEM,34005250,36725670,39446090,42166510,44886930,0,197230450,5
Deandre Ayton,26.0,C,40.0,30.2,0.566,0.188,0.573,0.667,3.1,7.1,10.2,1.6,0.8,1.0,1.7,2.2,14.4,POR,34005126,35550814,0,0,0,0,69555940,2
James Harden,35.0,PG,63.0,35.1,0.392,0.341,0.482,0.87,0.7,5.1,5.8,8.7,1.5,0.6,4.5,2.0,22.3,LAC,33653846,36346154,0,0,0,0,33653846,2
CJ McCollum,33.0,PG,51.0,32.8,0.448,0.381,0.535,0.734,0.7,3.0,3.7,3.9,0.7,0.5,1.8,2.3,21.2,NOP,33333333,30666666,0,0,0,0,63999999,2
Julius Randle,30.0,PF,54.0,32.5,0.474,0.323,0.527,0.817,2.2,5.0,7.2,4.7,0.7,0.2,2.9,2.5,18.9,MIN,33073920,30935520,0,0,0,0,33073920,2
Immanuel Quickley,25.0,PG,25.0,28.4,0.425,0.38,0.521,0.854,0.4,3.0,3.4,5.5,0.6,0.1,1.8,1.9,17.2,TOR,32500000,32500000,32500000,32500000,32500000,0,162500000,5
Khris Middleton,33.0,SF,32.0,23.6,0.492,0.359,0.562,0.857,0.3,3.5,3.9,4.3,1.0,0.3,1.7,2.2,12.5,WAS,31000000,33296296,0,0,0,0,31000000,2
Jrue Holiday,34.0,PG,50.0,30.3,0.438,0.337,0.532,0.9,1.2,3.1,4.3,3.6,1.0,0.4,1.3,1.6,10.7,BOS,30000000,32400000,34800000,37200000,0,0,97200000,4
Isaiah Hartenstein,26.0,C,45.0,28.2,0.573,0.0,0.573,0.674,2.9,8.2,11.1,3.9,0.8,1.0,1.7,3.0,11.1,OKC,30000000,28500000,28500000,0,0,0,58500000,3
Jerami Grant,30.0,PF,47.0,32.4,0.373,0.365,0.467,0.849,0.6,2.9,3.5,2.1,0.9,1.0,1.4,2.3,14.4,POR,29793104,32000001,34206898,36413790,0,0,96000003,4
Jordan Poole,25.0,SG,55.0,30.9,0.421,0.374,0.529,0.879,0.5,2.8,3.3,4.7,1.4,0.5,3.2,3.2,21.0,WAS,29651786,31848215,34044642,0,0,0,95544643,3
Dejounte Murray,28.0,PG,31.0,32.6,0.393,0.299,0.445,0.823,0.5,5.9,6.5,7.4,2.0,0.4,3.4,2.0,17.5,NOP,29517135,31557103,33597072,31619506,0,0,94671310,4
Devin Vassell,24.0,SG,49.0,30.6,0.435,0.348,0.516,0.785,0.6,3.2,3.8,2.9,1.3,0.5,1.4,1.6,15.9,SAS,29347826,27000000,27000000,24652174,27000000,0,135000000,5
Kristaps Porziņģis,29.0,C,32.0,28.9,0.474,0.403,0.562,0.813,1.6,5.2,6.8,1.9,0.8,1.6,1.2,2.8,18.9,BOS,29268293,30731707,0,0,0,0,60000000,2
Tyler Herro,25.0,SG,62.0,35.7,0.461,0.369,0.557,0.859,0.4,5.0,5.4,5.7,0.8,0.2,2.6,1.2,23.9,MIA,29000000,31000000,33000000,0,0,0,93000000,3
Nic Claxton,25.0,C,58.0,27.2,0.549,0.063,0.551,0.53,2.2,5.2,7.4,2.3,0.9,1.5,1.2,2.2,10.2,BKN,27556817,25352272,23147727,20943184,0,0,97000000,4
Miles Bridges,26.0,PF,51.0,32.5,0.442,0.332,0.509,0.872,1.1,6.7,7.9,3.8,0.8,0.7,2.1,1.6,21.4,CHO,27173913,25000000,22826087,0,0,0,75000000,3
John Collins,27.0,PF,40.0,30.5,0.527,0.399,0.583,0.848,2.2,6.0,8.2,2.0,1.0,1.0,2.6,2.9,19.0,UTA,26580000,26580000,0,0,0,0,26580000,2
Andrew Wiggins,29.0,SF,52.0,30.9,0.44,0.366,0.517,0.775,1.6,3.0,4.6,2.5,0.9,0.8,1.5,1.7,17.8,MIA,26276786,28223215,30169644,0,0,0,54500001,3
Anfernee Simons,25.0,SG,63.0,32.8,0.43,0.369,0.526,0.908,0.3,2.4,2.8,4.8,0.9,0.1,2.1,1.7,19.3,POR,25892857,27678571,0,0,0,0,53571428,2
