Player,Age,Pos,G,MP,FG%,3P%,eFG%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Tm,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed,contract_length
Dennis Schröder,31.0,PG,61.0,27.7,0.416,0.351,0.497,0.838,0.3,2.3,2.6,5.2,1.0,0.2,2.0,2.5,13.4,DET,13025250,0,0,0,0,0,13025250,1
Isaiah Joe,25.0,SG,59.0,20.6,0.427,0.396,0.583,0.775,0.5,2.0,2.5,1.5,0.7,0.2,0.5,1.7,9.4,OKC,12991650,12362338,11323006,11323006,0,0,36676994,4
Herbert Jones,26.0,SF,20.0,32.4,0.436,0.306,0.5,0.825,1.1,2.8,3.9,3.3,1.9,0.5,1.8,3.3,10.3,NOP,12976362,13937574,14898786,0,0,0,41812722,3
Austin Reaves,26.0,SG,57.0,34.4,0.44,0.363,0.533,0.87,0.9,3.5,4.4,5.8,1.1,0.3,2.4,2.0,18.9,LAL,12976362,13937574,14898786,0,0,0,26913936,3
Obi Toppin,26.0,PF,61.0,19.0,0.532,0.338,0.614,0.805,0.7,3.2,3.9,1.5,0.6,0.3,0.8,1.4,9.9,IND,12975000,14000000,15000000,16025000,0,0,58000000,4
Cole Anthony,24.0,PG,60.0,18.8,0.424,0.349,0.491,0.817,0.7,2.4,3.1,2.9,0.7,0.5,1.6,2.4,9.7,ORL,12900000,13100000,13100000,0,0,0,26000000,3
De'Anthony Melton,26.0,SG,6.0,20.2,0.407,0.371,0.528,0.625,1.0,2.3,3.3,2.8,1.2,0.3,1.7,3.0,10.3,BKN,12822000,0,0,0,0,0,12822000,1
Kelly Olynyk,33.0,C,33.0,18.5,0.487,0.413,0.556,0.775,1.3,3.4,4.7,2.6,0.6,0.4,1.5,2.6,8.0,NOP,12804878,13445122,0,0,0,0,26250000,2
Victor Wembanyama,21.0,C,46.0,33.2,0.476,0.352,0.559,0.836,1.8,9.2,11.0,3.7,1.1,3.8,3.2,2.3,24.3,SAS,12768960,13376880,16868246,0,0,0,26145840,3
Josh Green,24.0,SG,59.0,28.6,0.419,0.384,0.532,0.661,0.9,1.8,2.7,1.6,1.1,0.2,1.0,2.5,7.2,CHO,12654321,13666667,14679012,0,0,0,41000000,3
Richaun Holmes,31.0,PF,26.0,18.1,0.664,0.0,0.664,0.827,2.0,3.9,5.9,1.5,0.3,0.8,0.8,1.6,7.7,WAS,12648321,13280737,0,0,0,0,12648321,2
Steven Adams,31.0,C,47.0,12.7,0.523,0.0,0.523,0.446,2.7,2.6,5.3,1.2,0.3,0.4,0.9,1.0,3.6,HOU,12600000,0,0,0,0,0,12600000,1
Bobby Portis,29.0,PF,46.0,25.2,0.463,0.364,0.517,0.821,1.8,6.5,8.3,2.2,0.7,0.5,1.2,1.9,13.7,MIL,12578286,13445754,0,0,0,0,12578286,2
Zaccharie Risacher,19.0,SF,59.0,24.4,0.438,0.346,0.513,0.709,1.2,2.4,3.6,1.2,0.8,0.5,1.2,1.9,11.6,ATL,12569040,13197720,13826040,17434637,0,0,25766760,4
Brandon Clarke,28.0,PF,60.0,19.1,0.613,0.059,0.615,0.696,2.0,3.2,5.2,1.0,0.8,0.6,0.6,2.4,8.2,MEM,12500000,12500000,12500000,0,0,0,37500000,3
Marvin Bagley III,25.0,PF,22.0,9.3,0.525,0.214,0.544,0.667,1.4,1.5,2.9,0.3,0.3,0.3,0.5,0.6,4.8,MEM,12500000,0,0,0,0,0,12500000,1
Jalen Green,22.0,SG,66.0,33.2,0.425,0.356,0.508,0.832,0.5,3.9,4.5,3.3,0.9,0.3,2.6,1.6,21.1,HOU,12483048,33333333,36000000,36000000,0,0,81816381,4
Robert Williams,27.0,C,20.0,17.6,0.641,0.333,0.647,0.882,1.8,4.2,5.9,1.1,0.7,1.7,0.9,1.6,5.8,POR,12428571,13285713,0,0,0,0,25714284,2
Paolo Banchero,22.0,PF,33.0,33.9,0.447,0.325,0.497,0.705,1.1,6.0,7.0,4.7,0.8,0.7,2.9,2.2,24.6,ORL,12160800,15334769,0,0,0,0,27495569,2
Coby White,24.0,SG,59.0,33.0,0.438,0.363,0.538,0.902,0.3,3.2,3.5,4.5,1.0,0.2,2.3,2.2,19.3,CHI,12000000,12888889,0,0,0,0,24888889,2
Wendell Carter Jr.,25.0,C,54.0,25.7,0.455,0.21,0.488,0.738,2.1,5.3,7.4,2.2,0.8,0.5,1.1,2.9,8.9,ORL,11950000,10850000,18102000,19550160,20998320,0,60452160,5
Ivica Zubac,27.0,C,64.0,32.7,0.622,0.0,0.622,0.635,3.7,8.8,12.5,2.5,0.8,1.2,1.6,2.2,16.2,LAC,11743210,18102000,19550160,20998320,0,0,70393690,4
Donte DiVincenzo,28.0,SG,48.0,26.5,0.413,0.394,0.562,0.786,0.5,3.3,3.8,3.7,1.2,0.2,1.6,1.7,11.6,MIN,11445000,11990000,12535000,0,0,0,35970000,3
Brandon Miller,22.0,SF,27.0,34.2,0.403,0.355,0.509,0.861,0.9,3.9,4.9,3.6,1.1,0.7,2.8,2.7,21.0,CHO,11424600,11968800,15104626,0,0,0,23393400,3
Terance Mann,28.0,SG,51.0,20.6,0.481,0.379,0.557,0.642,1.0,1.9,2.9,1.8,0.7,0.3,0.7,1.9,7.0,ATL,11423077,15500000,15500000,16000000,0,0,58423077,4
Alex Sarr,19.0,C,50.0,26.9,0.391,0.314,0.456,0.629,1.8,4.9,6.7,2.3,0.6,1.6,1.5,2.3,11.9,WAS,11245680,11808240,12370680,15611798,0,0,23053920,4
Evan Mobley,23.0,PF,58.0,30.2,0.568,0.365,0.61,0.744,2.3,7.0,9.3,3.1,0.8,1.6,2.0,2.0,18.6,CLE,11227657,38661750,41754690,44847630,47940570,51033510,235465807,6
Larry Nance Jr.,32.0,PF,24.0,19.3,0.516,0.447,0.626,0.692,1.0,3.3,4.3,1.6,0.8,0.5,0.7,1.5,8.5,ATL,11205000,0,0,0,0,0,11205000,1
Aaron Nesmith,25.0,SF,29.0,24.1,0.484,0.383,0.583,0.911,0.7,3.0,3.7,1.4,0.7,0.4,0.8,2.5,10.4,IND,11000000,11000000,11000000,0,0,0,33000000,3
Gabe Vincent,28.0,PG,56.0,21.0,0.394,0.333,0.511,0.688,0.2,0.9,1.2,1.5,0.7,0.2,0.6,2.1,5.9,LAL,11000000,11500000,0,0,0,0,22500000,2
Maxi Kleber,33.0,PF,34.0,18.7,0.385,0.265,0.453,0.762,0.7,2.1,2.8,1.3,0.3,0.5,0.7,1.9,3.0,LAL,11000000,11000000,0,0,0,0,22000000,2
Moritz Wagner,27.0,C,30.0,18.8,0.562,0.36,0.616,0.718,1.3,3.6,4.9,1.4,0.8,0.4,1.6,1.8,12.9,ORL,11000000,11000000,0,0,0,0,11000000,2
Chet Holmgren,22.0,C,21.0,26.8,0.493,0.351,0.553,0.742,1.8,6.8,8.6,1.9,0.8,2.7,1.8,2.1,15.0,OKC,10880640,13731368,0,0,0,0,24612008,2
Chris Boucher,32.0,PF,50.0,17.2,0.492,0.363,0.586,0.782,1.4,3.1,4.5,0.7,0.5,0.5,0.6,1.4,10.0,TOR,10810000,0,0,0,0,0,10810000,1
Jarred Vanderbilt,25.0,PF,20.0,17.0,0.507,0.333,0.567,0.474,1.8,3.7,5.5,1.2,1.0,0.3,0.7,1.8,4.3,LAL,10714286,11571429,12428571,13285714,0,0,34714286,4
