Rk,Player,Age,Pos,G,MP,FG%,3P%,eFG%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
349,Drew Eubanks,27,C,48,14.0,.592,.500,.601,.651,1.1,3.0,4.1,1.0,0.2,0.7,0.7,1.1,5.2,eubandr01
350,Aaron Holiday,28,PG,49,12.7,.424,.376,.546,.833,0.2,1.1,1.3,1.3,0.3,0.1,0.6,1.1,5.2,holidaa01
351,Rob Dillingham,20,PG,41,11.9,.445,.357,.508,.533,0.3,0.9,1.2,2.3,0.4,0.0,1.2,0.9,5.1,dilliro01
352,Neemias Queta,25,C,50,14.4,.645,.000,.645,.729,1.5,2.5,3.9,0.7,0.3,0.7,0.7,1.8,5.1,quetane01
353,Lindy Waters III,27,SG,45,15.2,.374,.335,.498,.727,0.4,1.8,2.2,1.0,0.5,0.2,0.4,1.3,5.0,waterli01
354,Kyle Anderson,31,PF,48,14.6,.443,.368,.493,.689,0.9,2.3,3.1,2.2,0.6,0.5,0.5,1.2,5.0,anderky01
355,Jeff Dowtin,27,PG,33,12.5,.474,.419,.541,.692,0.2,1.1,1.3,1.7,0.4,0.2,0.2,0.6,5.0,dowtije01
356,Terrence Shannon Jr.,24,SG,27,11.2,.491,.367,.542,.810,0.4,1.2,1.6,1.0,0.2,0.2,0.5,0.9,5.0,shannte01
357,Alondes Williams,25,SG,1,4.0,1.000,1.000,1.250,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,willial06
358,Kevon Looney,28,C,60,15.7,.508,.000,.508,.573,2.7,3.9,6.6,1.7,0.7,0.5,0.6,2.2,4.9,looneke01
359,Monte Morris,29,PG,40,13.1,.404,.301,.468,.850,0.3,1.2,1.4,1.7,0.4,0.1,0.4,0.5,4.9,morrimo01
360,Ryan Rollins,22,PG,41,12.0,.462,.361,.538,.833,0.4,1.2,1.6,1.2,0.7,0.3,0.9,1.3,4.9,rolliry01
361,Marvin Bagley III,25,PF,22,9.3,.525,.214,.544,.667,1.4,1.5,2.9,0.3,0.3,0.3,0.5,0.6,4.8,baglema01
362,David Roddy,23,PF,30,12.5,.464,.333,.545,.818,0.4,2.2,2.6,1.1,0.5,0.3,0.7,0.6,4.7,roddyda01
363,Taylor Hendricks,21,PF,3,25.0,.222,.250,.306,.750,1.7,3.3,5.0,0.7,1.7,1.3,0.7,2.7,4.7,hendrta01
364,Mason Plumlee,34,C,65,18.1,.618,.000,.618,.646,1.6,4.7,6.4,1.8,0.4,0.7,0.8,2.2,4.7,plumlma01
365,Jabari Walker,22,SF,50,11.8,.506,.383,.571,.654,1.0,2.5,3.5,0.6,0.6,0.1,0.5,1.5,4.7,walkeja01
366,Cody Williams,20,SG,41,20.5,.345,.296,.419,.763,0.6,1.8,2.4,1.2,0.5,0.3,0.9,1.8,4.7,willico04
367,Charles Bassey,24,C,34,10.7,.586,,.586,.636,1.6,2.8,4.4,0.5,0.4,0.9,0.7,1.4,4.6,bassech01
368,Sandro Mamukelashvili,25,PF,43,8.6,.511,.373,.622,.714,0.6,1.7,2.3,0.6,0.3,0.3,0.3,0.8,4.6,mamuksa01
369,Julian Phillips,21,SF,64,13.9,.443,.328,.531,.761,0.9,1.2,2.1,0.5,0.4,0.3,0.4,1.3,4.6,phillju01
370,Trentyn Flowers,19,SF,2,8.0,.444,.000,.444,1.000,0.5,1.5,2.0,0.0,0.0,0.0,0.5,1.5,4.5,flowetr01
371,Gui Santos,22,PF,41,13.8,.482,.364,.584,.727,1.2,1.9,3.1,1.5,0.4,0.2,0.8,1.8,4.5,santogu01
372,Cam Spencer,24,SG,13,11.3,.450,.391,.563,1.000,0.5,1.0,1.5,1.3,0.5,0.1,0.4,1.2,4.5,spencca01
373,Reggie Jackson,34,PG,31,12.4,.391,.338,.485,.778,0.3,1.1,1.4,1.5,0.5,0.1,0.5,1.1,4.4,jacksre01
374,Jordan Miller,25,SF,34,12.1,.435,.216,.466,.788,0.7,1.0,1.7,1.0,0.5,0.1,0.7,0.7,4.4,millejo02
375,Antonio Reeves,24,SG,30,10.6,.422,.355,.517,.846,0.4,0.7,1.2,0.8,0.3,0.1,0.4,0.5,4.4,reevean01
376,Mo Bamba,26,C,30,13.1,.454,.283,.523,.680,1.0,3.5,4.5,0.6,0.3,1.0,0.6,1.8,4.3,bambamo01
377,Jaylen Clark,23,SG,25,14.7,.442,.415,.541,.778,0.7,0.6,1.2,0.6,1.0,0.0,0.2,1.8,4.3,clarkja02
378,Pat Connaughton,32,SG,31,14.8,.431,.323,.517,.765,0.5,2.1,2.6,1.6,0.2,0.3,0.6,1.1,4.3,connapa01
379,Micah Potter,26,C,30,17.4,.433,.364,.567,.857,1.1,3.0,4.1,0.8,0.3,0.4,0.7,1.3,4.3,pottemi01
380,Trevelin Queen,27,SG,28,13.8,.352,.242,.414,.882,0.8,0.8,1.6,1.2,1.0,0.4,0.8,1.3,4.3,queentr01
381,Mitchell Robinson,26,C,6,14.8,.688,,.688,.800,2.3,1.8,4.2,0.5,1.2,0.5,0.8,2.0,4.3,robinmi01
382,Daniel Theis,32,C,38,16.3,.473,.243,.508,.838,1.2,3.2,4.3,1.6,0.5,0.5,0.7,1.8,4.3,theisda01
383,Jarred Vanderbilt,25,PF,20,17.0,.507,.333,.567,.474,1.8,3.7,5.5,1.2,1.0,0.3,0.7,1.8,4.3,vandeja01
384,Devin Carter,22,PG,22,9.7,.385,.308,.462,.667,0.5,1.8,2.3,1.2,0.3,0.1,0.5,0.9,4.2,cartede02
385,Jett Howard,21,SF,54,11.4,.355,.297,.463,.750,0.4,0.8,1.2,0.8,0.2,0.2,0.5,1.1,4.2,howarje01
386,Elfrid Payton,30,PG,13,20.5,.388,.000,.388,.500,0.5,2.4,2.8,5.2,1.2,0.5,2.1,1.7,4.1,paytoel01
387,Paul Reed,25,C,37,9.2,.536,.286,.563,.794,0.9,1.7,2.6,0.9,0.9,0.5,0.5,1.5,4.1,reedpa01
388,Malachi Flynn,26,PG,4,11.0,.385,.250,.423,.833,0.8,1.0,1.8,1.8,0.8,0.0,1.0,1.0,4.0,flynnma01
389,Marcus Garrett,26,SG,1,19.0,.333,.000,.333,,0.0,1.0,1.0,5.0,0.0,0.0,3.0,3.0,4.0,garrema01
